~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~2020-05-03 14:45:07~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 processID | processName | processCreationTime | CpuUsagePercentage | MemoryUsagePercentage
381 ::: loop3 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
382 ::: loop4 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
385 ::: loop5 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
396 ::: loop6 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
399 ::: loop7 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
406 ::: loop8 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
407 ::: loop9 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
408 ::: loop10 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
409 ::: loop11 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
410 ::: loop12 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
411 ::: loop13 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
412 ::: loop14 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
413 ::: loop15 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
414 ::: loop16 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
415 ::: loop17 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
418 ::: iprt-VBoxWQueue ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
431 ::: loop18 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
432 ::: cryptd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
433 ::: loop19 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
444 ::: loop20 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
485 ::: kworker/3:3-events ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
581 ::: systemd-resolved ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
605 ::: networkd-dispat ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
608 ::: udisksd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
619 ::: dbus-daemon ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
623 ::: NetworkManager ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
626 ::: avahi-daemon ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
629 ::: systemd-logind ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
635 ::: accounts-daemon ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
638 ::: wpa_supplicant ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
639 ::: cron ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
642 ::: rsyslogd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
646 ::: ModemManager ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
653 ::: acpid ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
655 ::: irqbalance ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
657 ::: cupsd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
660 ::: snapd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
674 ::: avahi-daemon ::: 2020-05-03 14:36:34 ::: 0.0 ::: 0.0
680 ::: dbus ::: 2020-05-03 14:36:34 ::: 0.0 ::: 0.0
682 ::: cups-browsed ::: 2020-05-03 14:36:34 ::: 0.0 ::: 0.0
689 ::: polkitd ::: 2020-05-03 14:36:34 ::: 0.0 ::: 0.0
763 ::: unattended-upgr ::: 2020-05-03 14:36:35 ::: 0.0 ::: 0.0
837 ::: whoopsie ::: 2020-05-03 14:36:36 ::: 0.0 ::: 0.0
841 ::: kerneloops ::: 2020-05-03 14:36:36 ::: 0.0 ::: 0.0
847 ::: kerneloops ::: 2020-05-03 14:36:36 ::: 0.0 ::: 0.0
1153 ::: VBoxClient ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1154 ::: VBoxClient ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1195 ::: gdm3 ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1205 ::: VBoxService ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1223 ::: gdm-session-worker ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1228 ::: systemd ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1229 ::: (sd-pam) ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1241 ::: pulseaudio ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1244 ::: gnome-keyring-daemon ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1248 ::: gdm-x-session ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1251 ::: Xorg ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1260 ::: rtkit-daemon ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1263 ::: dbus-daemon ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1267 ::: gnome-session-binary ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1343 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1344 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1353 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1354 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1361 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1362 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1367 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1368 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1381 ::: ssh-agent ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1401 ::: gvfsd ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1407 ::: gvfsd-fuse ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1444 ::: at-spi-bus-launcher ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1449 ::: dbus-daemon ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1457 ::: xdg-desktop-portal ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1461 ::: at-spi2-registryd ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1468 ::: xdg-document-portal ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1473 ::: xdg-permission-store ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1482 ::: xdg-desktop-portal-gtk ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1491 ::: dconf-service ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1510 ::: gnome-session-ctl ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1516 ::: gnome-session-binary ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1539 ::: gnome-shell ::: 2020-05-03 14:36:44 ::: 33.0 ::: 0.0
1570 ::: gnome-shell-calendar-server ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1574 ::: evolution-source-registry ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1582 ::: goa-daemon ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1583 ::: upowerd ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1584 ::: gvfsd-metadata ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1598 ::: goa-identity-service ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1607 ::: gvfs-udisks2-volume-monitor ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1612 ::: gvfs-goa-volume-monitor ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1616 ::: gvfs-afc-volume-monitor ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1621 ::: gvfs-mtp-volume-monitor ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1625 ::: gvfs-gphoto2-volume-monitor ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1643 ::: ibus-daemon ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1651 ::: ibus-memconf ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1652 ::: ibus-extension-gtk3 ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1656 ::: ibus-x11 ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1660 ::: ibus-portal ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1665 ::: gvfsd-trash ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1677 ::: evolution-calendar-factory ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1697 ::: gsd-wacom ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1698 ::: gsd-xsettings ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1699 ::: gsd-housekeeping ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1700 ::: gsd-datetime ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1704 ::: gsd-wwan ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1708 ::: gsd-power ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1711 ::: gsd-smartcard ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1712 ::: gsd-sharing ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1725 ::: gsd-media-keys ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1729 ::: gsd-keyboard ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1733 ::: gsd-rfkill ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1746 ::: gsd-sound ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1749 ::: gsd-screensaver-proxy ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1766 ::: gsd-color ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1768 ::: gsd-disk-utility-notify ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1769 ::: gsd-a11y-settings ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1771 ::: evolution-alarm-notify ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1774 ::: gsd-print-notifications ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1779 ::: evolution-addressbook-factory ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1811 ::: tracker-miner-fs ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1855 ::: colord ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1872 ::: gsd-printer ::: 2020-05-03 14:36:47 ::: 0.0 ::: 0.0
1920 ::: ibus-engine-simple ::: 2020-05-03 14:36:48 ::: 0.0 ::: 0.0
2059 ::: seahorse ::: 2020-05-03 14:37:05 ::: 0.0 ::: 0.0
2061 ::: gnome-software ::: 2020-05-03 14:37:05 ::: 0.0 ::: 0.0
2106 ::: pycharm.sh ::: 2020-05-03 14:37:06 ::: 0.0 ::: 0.0
2173 ::: java ::: 2020-05-03 14:37:07 ::: 105.8 ::: 0.0
2190 ::: fwupd ::: 2020-05-03 14:37:08 ::: 0.0 ::: 0.0
2195 ::: boltd ::: 2020-05-03 14:37:08 ::: 0.0 ::: 0.0
2634 ::: fsnotifier64 ::: 2020-05-03 14:37:18 ::: 0.0 ::: 0.0
2873 ::: bash ::: 2020-05-03 14:37:30 ::: 0.0 ::: 0.0
2920 ::: update-notifier ::: 2020-05-03 14:37:47 ::: 0.0 ::: 0.0
3056 ::: kworker/u8:2-events_freezable_power_ ::: 2020-05-03 14:42:17 ::: 0.0 ::: 0.0
3057 ::: kworker/0:0-events ::: 2020-05-03 14:42:22 ::: 0.0 ::: 0.0
3072 ::: kworker/0:3 ::: 2020-05-03 14:42:22 ::: 0.0 ::: 0.0
3107 ::: python3.8 ::: 2020-05-03 14:45:06 ::: 93.1 ::: 0.0

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~2020-05-03 14:45:07~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 processID | processName | processCreationTime | CpuUsagePercentage | MemoryUsagePercentage
1 ::: systemd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
2 ::: kthreadd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
3 ::: rcu_gp ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
4 ::: rcu_par_gp ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
6 ::: kworker/0:0H-kblockd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
7 ::: kworker/0:1-events ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
8 ::: kworker/u8:0-events_power_efficient ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
9 ::: mm_percpu_wq ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
10 ::: ksoftirqd/0 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
11 ::: rcu_sched ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
12 ::: migration/0 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
13 ::: idle_inject/0 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
14 ::: cpuhp/0 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
15 ::: cpuhp/1 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
16 ::: idle_inject/1 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
17 ::: migration/1 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
18 ::: ksoftirqd/1 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
19 ::: kworker/1:0-events ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
20 ::: kworker/1:0H-kblockd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
21 ::: cpuhp/2 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
22 ::: idle_inject/2 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
23 ::: migration/2 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
24 ::: ksoftirqd/2 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
26 ::: kworker/2:0H-kblockd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
27 ::: cpuhp/3 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
28 ::: idle_inject/3 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
29 ::: migration/3 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
30 ::: ksoftirqd/3 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
31 ::: kworker/3:0-memcg_kmem_cache ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
32 ::: kworker/3:0H-kblockd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
33 ::: kdevtmpfs ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
34 ::: netns ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
35 ::: rcu_tasks_kthre ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
36 ::: kauditd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
37 ::: khungtaskd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
38 ::: oom_reaper ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
39 ::: writeback ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
40 ::: kcompactd0 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
41 ::: ksmd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
42 ::: khugepaged ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
44 ::: kworker/u8:1-events_power_efficient ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
135 ::: kintegrityd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
136 ::: kblockd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
137 ::: blkcg_punt_bio ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
138 ::: tpm_dev_wq ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
139 ::: ata_sff ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
140 ::: md ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
141 ::: edac-poller ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
142 ::: devfreq_wq ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
143 ::: watchdogd ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
144 ::: kworker/2:1-cgroup_destroy ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
147 ::: kswapd0 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
148 ::: kworker/u9:0 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
149 ::: ecryptfs-kthrea ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
152 ::: kthrotld ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
153 ::: acpi_thermal_pm ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
154 ::: scsi_eh_0 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
155 ::: scsi_tmf_0 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
156 ::: scsi_eh_1 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
157 ::: scsi_tmf_1 ::: 2020-05-03 14:36:30 ::: 0.0 ::: 0.0
161 ::: ipv6_addrconf ::: 2020-05-03 14:36:31 ::: 0.0 ::: 0.0
167 ::: kworker/1:1-events ::: 2020-05-03 14:36:31 ::: 0.0 ::: 0.0
173 ::: kstrp ::: 2020-05-03 14:36:31 ::: 0.0 ::: 0.0
177 ::: kworker/0:2-events ::: 2020-05-03 14:36:31 ::: 0.0 ::: 0.0
193 ::: charger_manager ::: 2020-05-03 14:36:31 ::: 0.0 ::: 0.0
243 ::: kworker/2:2-events ::: 2020-05-03 14:36:31 ::: 0.0 ::: 0.0
249 ::: scsi_eh_2 ::: 2020-05-03 14:36:31 ::: 0.0 ::: 0.0
250 ::: scsi_tmf_2 ::: 2020-05-03 14:36:31 ::: 0.0 ::: 0.0
252 ::: kworker/2:1H-kblockd ::: 2020-05-03 14:36:31 ::: 0.0 ::: 0.0
253 ::: kworker/1:1H-kblockd ::: 2020-05-03 14:36:32 ::: 0.0 ::: 0.0
274 ::: kworker/0:1H-kblockd ::: 2020-05-03 14:36:32 ::: 0.0 ::: 0.0
275 ::: jbd2/sda1-8 ::: 2020-05-03 14:36:32 ::: 0.0 ::: 0.0
276 ::: ext4-rsv-conver ::: 2020-05-03 14:36:32 ::: 0.0 ::: 0.0
289 ::: kworker/3:1H-kblockd ::: 2020-05-03 14:36:32 ::: 0.0 ::: 0.0
320 ::: systemd-journald ::: 2020-05-03 14:36:32 ::: 0.0 ::: 0.0
335 ::: systemd-udevd ::: 2020-05-03 14:36:32 ::: 0.0 ::: 0.0
340 ::: irq/18-vmwgfx ::: 2020-05-03 14:36:32 ::: 0.0 ::: 0.0
341 ::: ttm_swap ::: 2020-05-03 14:36:32 ::: 0.0 ::: 0.0
343 ::: loop0 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
349 ::: loop1 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
368 ::: loop2 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
381 ::: loop3 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
382 ::: loop4 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
385 ::: loop5 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
396 ::: loop6 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
399 ::: loop7 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
406 ::: loop8 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
407 ::: loop9 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
408 ::: loop10 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
409 ::: loop11 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
410 ::: loop12 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
411 ::: loop13 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
412 ::: loop14 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
413 ::: loop15 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
414 ::: loop16 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
415 ::: loop17 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
418 ::: iprt-VBoxWQueue ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
431 ::: loop18 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
432 ::: cryptd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
433 ::: loop19 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
444 ::: loop20 ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
485 ::: kworker/3:3-events ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
581 ::: systemd-resolved ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
605 ::: networkd-dispat ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
608 ::: udisksd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
619 ::: dbus-daemon ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
623 ::: NetworkManager ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
626 ::: avahi-daemon ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
629 ::: systemd-logind ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
635 ::: accounts-daemon ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
638 ::: wpa_supplicant ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
639 ::: cron ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
642 ::: rsyslogd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
646 ::: ModemManager ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
653 ::: acpid ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
655 ::: irqbalance ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
657 ::: cupsd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
660 ::: snapd ::: 2020-05-03 14:36:33 ::: 0.0 ::: 0.0
674 ::: avahi-daemon ::: 2020-05-03 14:36:34 ::: 0.0 ::: 0.0
680 ::: dbus ::: 2020-05-03 14:36:34 ::: 0.0 ::: 0.0
682 ::: cups-browsed ::: 2020-05-03 14:36:34 ::: 0.0 ::: 0.0
689 ::: polkitd ::: 2020-05-03 14:36:34 ::: 0.0 ::: 0.0
763 ::: unattended-upgr ::: 2020-05-03 14:36:35 ::: 0.0 ::: 0.0
837 ::: whoopsie ::: 2020-05-03 14:36:36 ::: 0.0 ::: 0.0
841 ::: kerneloops ::: 2020-05-03 14:36:36 ::: 0.0 ::: 0.0
847 ::: kerneloops ::: 2020-05-03 14:36:36 ::: 0.0 ::: 0.0
1153 ::: VBoxClient ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1154 ::: VBoxClient ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1195 ::: gdm3 ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1205 ::: VBoxService ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1223 ::: gdm-session-worker ::: 2020-05-03 14:36:41 ::: 0.0 ::: 0.0
1228 ::: systemd ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1229 ::: (sd-pam) ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1241 ::: pulseaudio ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1244 ::: gnome-keyring-daemon ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1248 ::: gdm-x-session ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1251 ::: Xorg ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1260 ::: rtkit-daemon ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1263 ::: dbus-daemon ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1267 ::: gnome-session-binary ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1343 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1344 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1353 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1354 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1361 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1362 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1367 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1368 ::: VBoxClient ::: 2020-05-03 14:36:42 ::: 0.0 ::: 0.0
1381 ::: ssh-agent ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1401 ::: gvfsd ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1407 ::: gvfsd-fuse ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1444 ::: at-spi-bus-launcher ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1449 ::: dbus-daemon ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1457 ::: xdg-desktop-portal ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1461 ::: at-spi2-registryd ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1468 ::: xdg-document-portal ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1473 ::: xdg-permission-store ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1482 ::: xdg-desktop-portal-gtk ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1491 ::: dconf-service ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1510 ::: gnome-session-ctl ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1516 ::: gnome-session-binary ::: 2020-05-03 14:36:43 ::: 0.0 ::: 0.0
1539 ::: gnome-shell ::: 2020-05-03 14:36:44 ::: 0.0 ::: 0.0
1570 ::: gnome-shell-calendar-server ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1574 ::: evolution-source-registry ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1582 ::: goa-daemon ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1583 ::: upowerd ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1584 ::: gvfsd-metadata ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
1598 ::: goa-identity-service ::: 2020-05-03 14:36:46 ::: 0.0 ::: 0.0
